nama_kosan,lokasi,type_kosan,fasilitas,harga
 Kost Baitussalam Tipe A , Kemayoran , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.840.000 
 Kost Nest Cikini Tipe B , Menteng , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.025.000 
 Kost Batik Tipe B Bendungan Hilir , Kecamatan Tanah Abang , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.975.000 
 Kost GBU Houseroom Tipe C , Kecamatan Kemayoran , Campur ,"['WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.187.500 
 Kost Sofia Thamrin Tipe C , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.450.000 
 Kost 33 Cempaka Baru Tipe C , Kemayoran , Putra ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp920.000 
 Kost Elani Residence Tipe A , Kecamatan Senen , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk']", Rp1.624.750 
 Kost Lia Tipe C Sawah Besar Pusat , Jakarta , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur']", Rp1.800.000 
 Kost Kanaya Tipe E , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.868.000 
 Kost Alaya Pejompongan Tipe A , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.937.400 
 Kost Lia Tipe B Sawah Besar Pusat , Jakarta , Campur ,"['WiFi·', 'Kasur']", Rp1.200.000 
 Kost Vanela 8 Benhil Tipe A , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.000.000 
 Kost Harmony Tipe B , Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.375.000 
 Kost Rumah Sagre Tipe A , Kecamatan Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.896.200 
 Kost Bright Tipe B , Johar Baru , Putri ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp970.000 
 Kost Petojo 5 Roxy Tipe A , Kecamatan Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.773.000 
 Kost Vanela 8 Benhil Tipe C , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.525.000 
